geographyid,region,date,monthsofsupply,mediansaleprice
10700,"Albertville, AL",2012-11-01,5.4,76000
22840,"Fort Payne, AL",2012-12-01,9.2,143000
10700,"Albertville, AL",2013-01-01,6.6,86000
11500,"Anniston, AL",2013-03-01,4.3,95000
42460,"Scottsboro, AL",2013-06-01,2.8,94000
10700,"Albertville, AL",2013-07-01,4.2,123000
42460,"Scottsboro, AL",2013-08-01,7.6,75000
23460,"Gadsden, AL",2013-09-01,5.4,110000
23460,"Gadsden, AL",2013-11-01,6.8,115000
11500,"Anniston, AL",2014-02-01,8.4,111000
10760,"Alexander City, AL",2014-04-01,3.0,220000
19460,"Decatur, AL",2014-10-01,5.6,110000
23460,"Gadsden, AL",2014-10-01,5.0,100000
19460,"Decatur, AL",2015-04-01,5.3,115000
10700,"Albertville, AL",2015-08-01,4.1,115000
19460,"Decatur, AL",2015-08-01,3.6,113000
13820,"Birmingham, AL",2015-11-01,7.4,170000
10700,"Albertville, AL",2015-12-01,5.7,120000
23460,"Gadsden, AL",2016-03-01,4.4,90000
10760,"Alexander City, AL",2016-04-01,9.0,287000
42460,"Scottsboro, AL",2016-09-01,3.3,124000
42460,"Scottsboro, AL",2016-11-01,4.2,146000
26620,"Huntsville, AL",2016-12-01,3.8,184000
10700,"Albertville, AL",2017-11-01,4.9,139000
19460,"Decatur, AL",2017-11-01,5.5,140000
26620,"Huntsville, AL",2017-12-01,3.2,201000
10760,"Alexander City, AL",2018-04-01,8.0,96000
19460,"Decatur, AL",2018-06-01,3.2,140000
23460,"Gadsden, AL",2018-09-01,6.1,111000
10760,"Alexander City, AL",2019-01-01,5.0,96000
42460,"Scottsboro, AL",2019-01-01,11.7,74000
42460,"Scottsboro, AL",2019-03-01,6.7,132000
45180,"Talladega, AL",2019-05-01,4.9,145000
11260,"Anchorage, AK",2012-02-01,8.6,245000
21820,"Fairbanks, AK",2012-04-01,5.5,219000
21820,"Fairbanks, AK",2015-07-01,4.2,219000
21820,"Fairbanks, AK",2016-05-01,3.4,250000
11260,"Anchorage, AK",2019-02-01,7.5,259000
21820,"Fairbanks, AK",2020-10-01,2.2,224000
42460,"Scottsboro, AL",2012-06-01,3.0,82000
42460,"Scottsboro, AL",2012-07-01,6.5,90000
26620,"Huntsville, AL",2012-10-01,4.8,165000
11500,"Anniston, AL",2012-12-01,5.5,100000
42460,"Scottsboro, AL",2013-01-01,4.2,120000
26620,"Huntsville, AL",2013-01-01,7.2,160000
11500,"Anniston, AL",2013-02-01,6.9,81000
19460,"Decatur, AL",2013-04-01,4.1,107000
19460,"Decatur, AL",2013-09-01,4.9,108000
13820,"Birmingham, AL",2014-01-01,6.5,140000
19460,"Decatur, AL",2014-01-01,8.3,105000
23460,"Gadsden, AL",2014-02-01,5.6,61000
22840,"Fort Payne, AL",2014-02-01,6.8,73000
19460,"Decatur, AL",2014-03-01,5.1,112000
10700,"Albertville, AL",2014-06-01,4.2,101000
10700,"Albertville, AL",2014-08-01,4.9,119000
13820,"Birmingham, AL",2014-11-01,5.0,162000
22840,"Fort Payne, AL",2014-11-01,5.7,95000
23460,"Gadsden, AL",2015-01-01,7.9,94000
23460,"Gadsden, AL",2015-08-01,4.8,100000
26620,"Huntsville, AL",2015-10-01,4.5,168000
22840,"Fort Payne, AL",2016-03-01,4.2,125000
10700,"Albertville, AL",2016-03-01,5.0,107000
11500,"Anniston, AL",2016-06-01,6.7,104000
10760,"Alexander City, AL",2016-07-01,8.0,90000
42460,"Scottsboro, AL",2018-03-01,5.2,135000
45180,"Talladega, AL",2018-09-01,5.8,140000
26620,"Huntsville, AL",2019-03-01,3.2,210000
26620,"Huntsville, AL",2019-04-01,2.5,208000
13820,"Birmingham, AL",2019-04-01,3.2,218000
10700,"Albertville, AL",2019-04-01,4.8,130000
10760,"Alexander City, AL",2019-04-01,12.0,65000
19460,"Decatur, AL",2020-09-01,1.6,180000
19460,"Decatur, AL",2020-12-01,1.3,179000
42620,"Searcy, AR",2012-05-01,3.2,120000
31680,"Malvern, AR",2015-01-01,7.8,75000
26300,"Hot Springs, AR",2015-07-01,9.0,170000
38220,"Pine Bluff, AR",2015-09-01,8.1,67000
31680,"Malvern, AR",2016-02-01,11.2,101000
11260,"Anchorage, AK",2014-01-01,5.9,240000
21820,"Fairbanks, AK",2015-04-01,3.8,225000
21820,"Fairbanks, AK",2016-07-01,4.1,220000
21820,"Fairbanks, AK",2016-10-01,4.7,240000
21820,"Fairbanks, AK",2017-01-01,3.3,222000
21820,"Fairbanks, AK",2017-07-01,4.6,262000
21820,"Fairbanks, AK",2017-09-01,3.4,235000
21820,"Fairbanks, AK",2020-11-01,2.4,220000
22840,"Fort Payne, AL",2012-03-01,3.6,65000
10700,"Albertville, AL",2012-09-01,6.3,95000
11500,"Anniston, AL",2012-10-01,5.8,93000
19460,"Decatur, AL",2012-12-01,4.7,92000
42460,"Scottsboro, AL",2013-10-01,8.5,65000
10700,"Albertville, AL",2013-12-01,6.2,109000
