zillow_id,cbsa_id,cbsa_name
753877,19000,Cullowhee
394546,20380,Dunn
394549,20500,Durham-Chapel Hill
394562,21020,Elizabeth City
394589,22180,Fayetteville
394600,22580,Forest City
394635,24140,Goldsboro
394648,24660,Greensboro-High Point
394651,24780,Greenville
394677,25780,Henderson
394679,25860,Hickory-Lenoir-Morganton
394716,27340,Jacksonville
394745,28620,Kill Devil Hills
394750,28820,Kinston
394777,29900,Laurinburg
394810,31300,Lumberton
753904,32000,Marion
394877,33980,Morehead City
394884,34340,Mount Airy
394905,35100,New Bern
394922,35900,North Wilkesboro
753910,37080,Oxford
753912,38240,Pinehurst-Southern Pines
395012,39580,Raleigh
395027,40260,Roanoke Rapids
395034,40460,Rockingham
395036,40580,Rocky Mount
395063,41820,Sanford
395090,43140,Shelby
395208,47820,Washington
395229,48900,Wilmington
395231,48980,Wilson
395235,49180,Winston-Salem
394390,13900,Bismarck
394533,19860,Dickinson
394585,22020,Fargo
394637,24220,Grand Forks
394718,27420,Jamestown
394866,33500,Minot
395198,47420,Wahpeton
395227,48780,Williston
394371,13100,Beatrice
394491,18100,Columbus
394617,23340,Fremont
394638,24260,Grand Island
394670,25580,Hastings
394737,28260,Kearney
394791,30420,Lexington
394796,30700,Lincoln
394919,35740,Norfolk
394920,35820,North Platte
394938,36540,Omaha-Council Bluffs
395072,42420,Scottsbluff
394383,13620,Berlin
394468,72500,Claremont
394493,18180,Concord
394738,28300,Keene
394759,29060,Laconia
394820,31700,Manchester
394348,12100,Atlantic City-Hammonton
394928,36140,Ocean City
395164,45940,Trenton
395193,47220,Vineland-Bridgeton
394305,10460,Alamogordo
394312,10740,Albuquerque
394478,17580,Clovis
394529,19700,Deming
394574,21580,Espanola
394588,22140,Farmington
394626,23700,Gallup
394642,24380,Grants
394683,26020,Hobbs
394773,29740,Las Cruces
394774,29780,Las Vegas
394805,31060,Los Alamos
394996,38780,Portales
395040,40740,Roswell
395066,42140,Santa Fe
395100,43500,Silver City
395149,45340,Taos
394444,16180,Carson City
394566,21220,Elko
394584,21980,Fallon
394592,22280,Fernley
394628,23820,Gardnerville Ranchos
394775,29820,Las Vegas-Henderson-Paradise
394954,37220,Pahrump
395019,39900,Reno
753927,49080,Winnemucca
394308,10580,Albany-Schenectady-Troy
394326,11220,Amsterdam
394350,12180,Auburn
394365,12860,Batavia
394387,13780,Binghamton
394425,15380,Buffalo-Cheektowaga-Niagara Falls
394501,18500,Corning
394504,18660,Cortland
394568,21300,Elmira
394633,24020,Glens Falls
394634,24100,Gloversville
394693,26460,Hudson
394709,27060,Ithaca
394719,27460,Jamestown-Dunkirk-Fredonia
394748,28740,Kingston
394819,31660,Malone
394913,35620,New York-Newark-Jersey City
394932,36300,Ogdensburg-Massena
394936,36460,Olean
394939,36580,Oneonta
394986,38460,Plattsburgh
395031,40380,Rochester
395084,42900,Seneca Falls
395143,45060,Syracuse
395179,46540,Utica-Rome
395213,48060,Watertown-Fort Drum
394304,10420,Akron
394339,11740,Ashland
394340,11780,Ashtabula
394343,11900,Athens
394377,13340,Bellefontaine
394424,15340,Bucyrus
394434,15740,Cambridge
394439,15940,Canton-Massillon
394449,16380,Celina
394465,17060,Chillicothe
394466,17140,Cincinnati
394475,17460,Cleveland-Elyria
394492,18140,Columbus
394506,18740,Coshocton
394521,19430,Dayton
394526,19580,Defiance
394593,22300,Findlay
394618,23380,Fremont
394652,24820,Greenville
753892,27160,Jackson
394794,30620,Lima
394824,31900,Mansfield
753903,31930,Marietta
394827,32020,Marion
394889,34540,Mount Vernon
394911,35420,New Philadelphia-Dover
394923,35940,Norwalk
753913,38840,Port Clinton
394999,39020,Portsmouth
753915,41400,Salem
395062,41780,Sandusky
395097,43380,Sidney
395117,44220,Springfield
395157,45660,Tiffin
395160,45780,Toledo
395178,46500,Urbana
395185,46780,Van Wert
395201,47540,Wapakoneta
395206,47920,Washington Court House
395230,48940,Wilmington
395237,49300,Wooster
395245,49660,Youngstown-Warren-Boardman
395248,49780,Zanesville
394300,10220,Ada
394322,11060,Altus
394336,11620,Ardmore
394363,12780,Bartlesville
394545,20340,Duncan
394548,20460,Durant
394564,21120,Elk City
394570,21420,Enid
394659,25100,Guymon
394780,30020,Lawton
394842,32540,McAlester
394855,33060,Miami
394897,34780,Muskogee
394935,36420,Oklahoma City
394990,38620,Ponca City
395088,43060,Shawnee
395133,44660,Stillwater
395144,45140,Tahlequah
395169,46140,Tulsa
753926,48220,Weatherford
395236,49260,Woodward
394307,10540,Albany
394341,11820,Astoria
394380,13460,Bend-Redmond
394418,15060,Brookings
394496,18300,Coos Bay
394505,18700,Corvallis
394576,21660,Eugene
394641,24420,Grants Pass
753887,25840,Hermiston-Pendleton
394687,26220,Hood River
394752,28900,Klamath Falls
394758,29260,La Grande
394848,32780,Medford
753905,35440,Newport
394940,36620,Ontario
394998,38900,Portland-Vancouver-Hillsboro
395004,39260,Prineville
395039,40700,Roseburg
395048,41420,Salem
753923,45520,The Dalles
394318,10900,Allentown-Bethlehem-Easton
394321,11020,Altoona
394395,14100,Bloomsburg-Berwick
394409,14620,Bradford
394453,16540,Chambersburg-Waynesboro
394541,20180,DuBois
394553,20700,East Stroudsburg
394572,21500,Erie
394630,23900,Gettysburg
394666,25420,Harrisburg-Carlisle
394695,26500,Huntingdon
394704,26860,Indiana
394727,27780,Johnstown
394768,29540,Lancaster
394783,30140,Lebanon
394785,30260,Lewisburg
394789,30380,Lewistown
394799,30820,Lock Haven
394847,32740,Meadville
394907,35260,New Castle
394933,36340,Oil City
394974,37980,Philadelphia-Camden-Wilmington
394982,38300,Pittsburgh
395000,39060,Pottsville
395015,39740,Reading
395071,42380,Sayre
395075,42540,Scranton--Wilkes-Barre--Hazleton
395082,42780,Selinsgrove
395106,43740,Somerset
395125,44300,State College
395140,44980,Sunbury
395203,47620,Warren
395225,48700,Williamsport
395244,49620,York-Hanover
395005,39300,Providence-Warwick
394381,13500,Bennettsville
394457,16700,Charleston-North Charleston
394486,17900,Columbia
394597,22500,Florence
394621,23500,Gaffney
394629,23860,Georgetown
394653,24860,Greenville-Anderson-Mauldin
394655,24940,Greenwood
394681,25940,Hilton Head Island-Bluffton-Beaufort
394898,34820,Myrtle Beach-Conway-North Myrtle Beach
394914,35140,Newberry
394942,36700,Orangeburg
395085,42860,Seneca
395109,43900,Spartanburg
395139,44940,Sumter
394297,10100,Aberdeen
394419,15100,Brookings
394700,26700,Huron
394868,33580,Mitchell
394979,38180,Pierre
395013,39660,Rapid City
395103,43620,Sioux Falls
395110,43940,Spearfish
395186,46820,Vermillion
395211,47980,Watertown
395241,49460,Yankton
394344,11940,Athens
394460,16860,Chattanooga
394471,17300,Clarksville
394474,17420,Cleveland
394495,18260,Cookeville
394509,18900,Crossville
753878,19420,Dayton
394550,20540,Dyersburg
394647,24620,Greeneville
394712,27180,Jackson
394726,27740,Johnson City
394747,28700,Kingsport-Bristol-Bristol
394753,28940,Knoxville
394779,29980,Lawrenceburg
394786,30280,Lewisburg
394835,32280,Martin
394845,32660,McMinnville
394849,32820,Memphis
394880,34100,Morristown
394902,34980,Nashville-Davidson--Murfreesboro--Franklin
394915,35460,Newport
394962,37540,Paris
395086,42940,Sevierville
395091,43180,Shelbyville
395168,46100,Tullahoma-Manchester
395176,46460,Union City
394299,10180,Abilene
394316,10860,Alice
394323,11100,Amarillo
394330,11380,Andrews
394345,11980,Athens
394355,12420,Austin-Round Rock
394370,13060,Bay City
394372,13140,Beaumont-Port Arthur
394376,13300,Beeville
394385,13700,Big Spring
394403,14420,Borger
394413,14780,Brenham
394421,15180,Brownsville-Harlingen
394422,15220,Brownwood
394483,17780,College Station-Bryan
394502,18580,Corpus Christi
394503,18620,Corsicana
394514,19100,Dallas-Fort Worth-Arlington
394527,19620,Del Rio
394544,20300,Dumas
394551,20580,Eagle Pass
394558,20900,El Campo
394561,21340,El Paso
394615,23240,Fredericksburg
394624,23620,Gainesville
394678,25820,Hereford
