geographyid,unemploymentrate,date
41940,8.5,2012-03-01
41940,8.0,2012-04-01
41940,8.0,2012-05-01
41940,8.4,2012-06-01
41940,8.5,2012-07-01
41940,8.1,2012-08-01
41940,7.4,2012-09-01
41940,7.4,2012-10-01
41940,7.3,2012-11-01
41940,7.1,2012-12-01
41940,7.6,2013-01-01
41940,7.2,2013-02-01
41940,7.0,2013-03-01
41940,6.5,2013-04-01
41940,6.4,2013-05-01
41940,6.9,2013-06-01
41940,6.9,2013-07-01
41940,6.6,2013-08-01
41940,6.3,2013-09-01
41940,6.3,2013-10-01
41940,6.0,2013-11-01
41940,5.6,2013-12-01
41940,5.8,2014-01-01
41940,5.9,2014-02-01
41940,5.8,2014-03-01
41940,5.1,2014-04-01
41940,5.1,2014-05-01
41940,5.3,2014-06-01
41940,5.7,2014-07-01
41940,5.4,2014-08-01
41940,5.0,2014-09-01
41940,4.9,2014-10-01
41940,4.8,2014-11-01
41940,4.4,2014-12-01
41940,4.9,2015-01-01
41940,4.6,2015-02-01
41940,4.5,2015-03-01
41940,4.1,2015-04-01
41940,4.2,2015-05-01
41940,4.3,2015-06-01
41940,4.5,2015-07-01
41940,4.2,2015-08-01
41940,3.9,2015-09-01
41940,4.0,2015-10-01
41940,4.0,2015-11-01
41940,3.8,2015-12-01
41940,4.0,2016-01-01
41940,4.0,2016-02-01
41940,4.0,2016-03-01
41940,3.8,2016-04-01
41940,3.5,2016-05-01
41940,4.0,2016-06-01
41940,4.1,2016-07-01
41940,4.0,2016-08-01
41940,3.9,2016-09-01
41940,3.9,2016-10-01
41940,3.6,2016-11-01
41940,3.5,2016-12-01
41940,3.9,2017-01-01
41940,3.7,2017-02-01
41940,3.5,2017-03-01
41940,3.2,2017-04-01
41940,3.1,2017-05-01
41940,3.4,2017-06-01
41940,3.6,2017-07-01
41940,3.5,2017-08-01
41940,3.1,2017-09-01
41940,3.0,2017-10-01
41940,2.9,2017-11-01
41940,2.8,2017-12-01
41940,3.1,2018-01-01
41940,3.0,2018-02-01
41940,2.9,2018-03-01
41940,2.6,2018-04-01
41940,2.3,2018-05-01
41940,2.9,2018-06-01
41940,2.9,2018-07-01
41940,2.8,2018-08-01
41940,2.5,2018-09-01
41940,2.6,2018-10-01
41940,2.5,2018-11-01
41940,2.6,2018-12-01
41940,3.0,2019-01-01
41940,2.8,2019-02-01
41940,2.8,2019-03-01
41940,2.3,2019-04-01
41940,2.2,2019-05-01
41940,2.7,2019-06-01
41940,2.8,2019-07-01
41940,2.7,2019-08-01
41940,2.3,2019-09-01
41940,2.4,2019-10-01
41940,2.4,2019-11-01
41940,2.3,2019-12-01
41940,2.7,2020-01-01
41940,2.7,2020-02-01
41940,3.5,2020-03-01
41940,12.0,2020-04-01
41940,11.3,2020-05-01
41940,10.8,2020-06-01
41940,9.5,2020-07-01
41940,7.3,2020-08-01
41940,7.0,2020-09-01
41940,5.8,2020-10-01
41940,5.1,2020-11-01
19740,8.5,2012-01-01
19740,8.5,2012-02-01
19740,8.4,2012-03-01
19740,7.9,2012-04-01
19740,7.7,2012-05-01
19740,8.1,2012-06-01
19740,7.7,2012-07-01
19740,7.6,2012-08-01
19740,7.2,2012-09-01
19740,7.1,2012-10-01
19740,7.1,2012-11-01
19740,7.2,2012-12-01
19740,7.8,2013-01-01
19740,7.6,2013-02-01
19740,7.3,2013-03-01
19740,6.8,2013-04-01
19740,6.7,2013-05-01
19740,7.0,2013-06-01
19740,6.6,2013-07-01
19740,6.2,2013-08-01
19740,6.1,2013-09-01
19740,5.9,2013-10-01
19740,5.7,2013-11-01
19740,5.6,2013-12-01
19740,6.1,2014-01-01
19740,6.1,2014-02-01
19740,5.8,2014-03-01
19740,5.2,2014-04-01
19740,4.8,2014-05-01
19740,4.8,2014-06-01
19740,4.6,2014-07-01
19740,4.4,2014-08-01
19740,4.0,2014-09-01
19740,3.9,2014-10-01
19740,4.0,2014-11-01
19740,4.0,2014-12-01
19740,4.6,2015-01-01
19740,4.4,2015-02-01
19740,4.3,2015-03-01
19740,3.8,2015-04-01
19740,3.8,2015-05-01
19740,3.9,2015-06-01
19740,3.6,2015-07-01
19740,3.3,2015-08-01
19740,3.2,2015-09-01
19740,3.2,2015-10-01
19740,3.2,2015-11-01
19740,3.2,2015-12-01
19740,3.5,2016-01-01
19740,3.5,2016-02-01
19740,3.5,2016-03-01
19740,3.2,2016-04-01
19740,3.0,2016-05-01
19740,3.4,2016-06-01
19740,3.1,2016-07-01
19740,3.0,2016-08-01
19740,2.9,2016-09-01
19740,2.8,2016-10-01
19740,2.6,2016-11-01
19740,2.6,2016-12-01
19740,3.1,2017-01-01
19740,2.9,2017-02-01
19740,2.7,2017-03-01
19740,2.5,2017-04-01
19740,2.4,2017-05-01
19740,2.8,2017-06-01
19740,2.7,2017-07-01
19740,2.7,2017-08-01
19740,2.6,2017-09-01
19740,2.6,2017-10-01
19740,2.7,2017-11-01
19740,2.7,2017-12-01
19740,3.2,2018-01-01
19740,3.2,2018-02-01
19740,3.0,2018-03-01
19740,2.9,2018-04-01
19740,2.7,2018-05-01
19740,3.3,2018-06-01
19740,3.1,2018-07-01
19740,3.1,2018-08-01
19740,3.0,2018-09-01
19740,3.0,2018-10-01
19740,3.0,2018-11-01
19740,3.1,2018-12-01
19740,3.5,2019-01-01
19740,3.1,2019-02-01
19740,3.0,2019-03-01
19740,2.7,2019-04-01
19740,2.5,2019-05-01
19740,2.8,2019-06-01
19740,2.6,2019-07-01
19740,2.6,2019-08-01
19740,2.3,2019-09-01
19740,2.3,2019-10-01
19740,2.3,2019-11-01
19740,2.3,2019-12-01
19740,2.7,2020-01-01
19740,2.8,2020-02-01
19740,5.2,2020-03-01
19740,12.3,2020-04-01
19740,10.5,2020-05-01
19740,11.1,2020-06-01
19740,7.9,2020-07-01
19740,7.0,2020-08-01
19740,6.5,2020-09-01
19740,6.5,2020-10-01
19740,6.4,2020-11-01
25540,8.6,2012-01-01
25540,8.5,2012-02-01
25540,8.4,2012-03-01
25540,7.9,2012-04-01
25540,8.2,2012-05-01
25540,8.7,2012-06-01
25540,8.9,2012-07-01
25540,8.9,2012-08-01
25540,8.2,2012-09-01
25540,8.0,2012-10-01
25540,7.7,2012-11-01
25540,7.6,2012-12-01
25540,8.7,2013-01-01
25540,8.5,2013-02-01
25540,8.1,2013-03-01
25540,7.6,2013-04-01
25540,7.8,2013-05-01
25540,8.1,2013-06-01
25540,8.2,2013-07-01
25540,8.0,2013-08-01
25540,7.4,2013-09-01
25540,7.3,2013-10-01
25540,6.9,2013-11-01
25540,6.7,2013-12-01
25540,7.6,2014-01-01
25540,7.5,2014-02-01
25540,7.2,2014-03-01
25540,6.3,2014-04-01
25540,6.6,2014-05-01
25540,6.7,2014-06-01
25540,6.9,2014-07-01
